cuda
(19376, 2304)
(6459, 2304)
Learning rate: 0.01
Batch size: 50
-------------------
0 tensor(1.9012, device='cuda:0', grad_fn=<DivBackward0>)
65 tensor(1.3892, device='cuda:0', grad_fn=<DivBackward0>)
66 tensor(1.3842, device='cuda:0', grad_fn=<DivBackward0>)
67 tensor(1.3799, device='cuda:0', grad_fn=<DivBackward0>)
68 tensor(1.3749, device='cuda:0', grad_fn=<DivBackward0>)
69 tensor(1.3705, device='cuda:0', grad_fn=<DivBackward0>)
70 tensor(1.3659, device='cuda:0', grad_fn=<DivBackward0>)
71 tensor(1.3607, device='cuda:0', grad_fn=<DivBackward0>)
72 tensor(1.3559, device='cuda:0', grad_fn=<DivBackward0>)
73 tensor(1.3510, device='cuda:0', grad_fn=<DivBackward0>)
74 tensor(1.3464, device='cuda:0', grad_fn=<DivBackward0>)
75 tensor(1.3416, device='cuda:0', grad_fn=<DivBackward0>)
76 tensor(1.3370, device='cuda:0', grad_fn=<DivBackward0>)
77 tensor(1.3316, device='cuda:0', grad_fn=<DivBackward0>)
78 tensor(1.3270, device='cuda:0', grad_fn=<DivBackward0>)
79 tensor(1.3219, device='cuda:0', grad_fn=<DivBackward0>)
80 tensor(1.3168, device='cuda:0', grad_fn=<DivBackward0>)
81 tensor(1.3119, device='cuda:0', grad_fn=<DivBackward0>)
82 tensor(1.3067, device='cuda:0', grad_fn=<DivBackward0>)
83 tensor(1.3016, device='cuda:0', grad_fn=<DivBackward0>)
84 tensor(1.2967, device='cuda:0', grad_fn=<DivBackward0>)
85 tensor(1.2911, device='cuda:0', grad_fn=<DivBackward0>)
86 tensor(1.2861, device='cuda:0', grad_fn=<DivBackward0>)
87 tensor(1.2812, device='cuda:0', grad_fn=<DivBackward0>)
88 tensor(1.2759, device='cuda:0', grad_fn=<DivBackward0>)
89 tensor(1.2706, device='cuda:0', grad_fn=<DivBackward0>)
90 tensor(1.2654, device='cuda:0', grad_fn=<DivBackward0>)
91 tensor(1.2603, device='cuda:0', grad_fn=<DivBackward0>)
92 tensor(1.2552, device='cuda:0', grad_fn=<DivBackward0>)
93 tensor(1.2494, device='cuda:0', grad_fn=<DivBackward0>)
94 tensor(1.2440, device='cuda:0', grad_fn=<DivBackward0>)
95 tensor(1.2387, device='cuda:0', grad_fn=<DivBackward0>)
96 tensor(1.2333, device='cuda:0', grad_fn=<DivBackward0>)
97 tensor(1.2279, device='cuda:0', grad_fn=<DivBackward0>)
98 tensor(1.2219, device='cuda:0', grad_fn=<DivBackward0>)
99 tensor(1.2168, device='cuda:0', grad_fn=<DivBackward0>)
Train f-1: 48.4866547015506
Test f-1: 30.968697940978835
Learning rate: 0.01
Batch size: 100
-------------------
0 tensor(1.9090, device='cuda:0', grad_fn=<DivBackward0>)
1 tensor(1.8667, device='cuda:0', grad_fn=<DivBackward0>)
2 tensor(1.8399, device='cuda:0', grad_fn=<DivBackward0>)
3 tensor(1.8213, device='cuda:0', grad_fn=<DivBackward0>)
4 tensor(1.8074, device='cuda:0', grad_fn=<DivBackward0>)
5 tensor(1.7963, device='cuda:0', grad_fn=<DivBackward0>)
6 tensor(1.7871, device='cuda:0', grad_fn=<DivBackward0>)
7 tensor(1.7792, device='cuda:0', grad_fn=<DivBackward0>)
8 tensor(1.7722, device='cuda:0', grad_fn=<DivBackward0>)
9 tensor(1.7658, device='cuda:0', grad_fn=<DivBackward0>)
10 tensor(1.7597, device='cuda:0', grad_fn=<DivBackward0>)
11 tensor(1.7538, device='cuda:0', grad_fn=<DivBackward0>)
12 tensor(1.7480, device='cuda:0', grad_fn=<DivBackward0>)
13 tensor(1.7420, device='cuda:0', grad_fn=<DivBackward0>)
14 tensor(1.7358, device='cuda:0', grad_fn=<DivBackward0>)
15 tensor(1.7296, device='cuda:0', grad_fn=<DivBackward0>)
16 tensor(1.7230, device='cuda:0', grad_fn=<DivBackward0>)
17 tensor(1.7162, device='cuda:0', grad_fn=<DivBackward0>)
18 tensor(1.7093, device='cuda:0', grad_fn=<DivBackward0>)
19 tensor(1.7025, device='cuda:0', grad_fn=<DivBackward0>)
20 tensor(1.6954, device='cuda:0', grad_fn=<DivBackward0>)
21 tensor(1.6884, device='cuda:0', grad_fn=<DivBackward0>)
22 tensor(1.6819, device='cuda:0', grad_fn=<DivBackward0>)
23 tensor(1.6753, device='cuda:0', grad_fn=<DivBackward0>)
24 tensor(1.6692, device='cuda:0', grad_fn=<DivBackward0>)
25 tensor(1.6631, device='cuda:0', grad_fn=<DivBackward0>)
26 tensor(1.6574, device='cuda:0', grad_fn=<DivBackward0>)
27 tensor(1.6523, device='cuda:0', grad_fn=<DivBackward0>)
28 tensor(1.6472, device='cuda:0', grad_fn=<DivBackward0>)
29 tensor(1.6422, device='cuda:0', grad_fn=<DivBackward0>)
30 tensor(1.6378, device='cuda:0', grad_fn=<DivBackward0>)
31 tensor(1.6334, device='cuda:0', grad_fn=<DivBackward0>)
32 tensor(1.6292, device='cuda:0', grad_fn=<DivBackward0>)
33 tensor(1.6254, device='cuda:0', grad_fn=<DivBackward0>)
34 tensor(1.6214, device='cuda:0', grad_fn=<DivBackward0>)
35 tensor(1.6178, device='cuda:0', grad_fn=<DivBackward0>)
36 tensor(1.6143, device='cuda:0', grad_fn=<DivBackward0>)
37 tensor(1.6112, device='cuda:0', grad_fn=<DivBackward0>)
38 tensor(1.6077, device='cuda:0', grad_fn=<DivBackward0>)
39 tensor(1.6048, device='cuda:0', grad_fn=<DivBackward0>)
40 tensor(1.6017, device='cuda:0', grad_fn=<DivBackward0>)
41 tensor(1.5984, device='cuda:0', grad_fn=<DivBackward0>)
42 tensor(1.5955, device='cuda:0', grad_fn=<DivBackward0>)
43 tensor(1.5928, device='cuda:0', grad_fn=<DivBackward0>)
44 tensor(1.5898, device='cuda:0', grad_fn=<DivBackward0>)
45 tensor(1.5873, device='cuda:0', grad_fn=<DivBackward0>)
46 tensor(1.5843, device='cuda:0', grad_fn=<DivBackward0>)
47 tensor(1.5816, device='cuda:0', grad_fn=<DivBackward0>)
48 tensor(1.5790, device='cuda:0', grad_fn=<DivBackward0>)
49 tensor(1.5764, device='cuda:0', grad_fn=<DivBackward0>)
50 tensor(1.5738, device='cuda:0', grad_fn=<DivBackward0>)
51 tensor(1.5711, device='cuda:0', grad_fn=<DivBackward0>)
52 tensor(1.5685, device='cuda:0', grad_fn=<DivBackward0>)
53 tensor(1.5659, device='cuda:0', grad_fn=<DivBackward0>)
54 tensor(1.5636, device='cuda:0', grad_fn=<DivBackward0>)
55 tensor(1.5609, device='cuda:0', grad_fn=<DivBackward0>)
56 tensor(1.5586, device='cuda:0', grad_fn=<DivBackward0>)
57 tensor(1.5560, device='cuda:0', grad_fn=<DivBackward0>)
58 tensor(1.5535, device='cuda:0', grad_fn=<DivBackward0>)
59 tensor(1.5512, device='cuda:0', grad_fn=<DivBackward0>)
60 tensor(1.5487, device='cuda:0', grad_fn=<DivBackward0>)
61 tensor(1.5463, device='cuda:0', grad_fn=<DivBackward0>)
62 tensor(1.5437, device='cuda:0', grad_fn=<DivBackward0>)
63 tensor(1.5413, device='cuda:0', grad_fn=<DivBackward0>)
64 tensor(1.5388, device='cuda:0', grad_fn=<DivBackward0>)
65 tensor(1.5367, device='cuda:0', grad_fn=<DivBackward0>)
66 tensor(1.5339, device='cuda:0', grad_fn=<DivBackward0>)
67 tensor(1.5317, device='cuda:0', grad_fn=<DivBackward0>)
68 tensor(1.5291, device='cuda:0', grad_fn=<DivBackward0>)
69 tensor(1.5268, device='cuda:0', grad_fn=<DivBackward0>)
70 tensor(1.5245, device='cuda:0', grad_fn=<DivBackward0>)
71 tensor(1.5221, device='cuda:0', grad_fn=<DivBackward0>)
72 tensor(1.5196, device='cuda:0', grad_fn=<DivBackward0>)
73 tensor(1.5174, device='cuda:0', grad_fn=<DivBackward0>)
74 tensor(1.5149, device='cuda:0', grad_fn=<DivBackward0>)
75 tensor(1.5125, device='cuda:0', grad_fn=<DivBackward0>)
76 tensor(1.5102, device='cuda:0', grad_fn=<DivBackward0>)
77 tensor(1.5079, device='cuda:0', grad_fn=<DivBackward0>)
78 tensor(1.5056, device='cuda:0', grad_fn=<DivBackward0>)
79 tensor(1.5032, device='cuda:0', grad_fn=<DivBackward0>)
80 tensor(1.5007, device='cuda:0', grad_fn=<DivBackward0>)
81 tensor(1.4986, device='cuda:0', grad_fn=<DivBackward0>)
82 tensor(1.4963, device='cuda:0', grad_fn=<DivBackward0>)
83 tensor(1.4941, device='cuda:0', grad_fn=<DivBackward0>)
84 tensor(1.4914, device='cuda:0', grad_fn=<DivBackward0>)
85 tensor(1.4893, device='cuda:0', grad_fn=<DivBackward0>)
86 tensor(1.4868, device='cuda:0', grad_fn=<DivBackward0>)
87 tensor(1.4846, device='cuda:0', grad_fn=<DivBackward0>)
88 tensor(1.4822, device='cuda:0', grad_fn=<DivBackward0>)
89 tensor(1.4797, device='cuda:0', grad_fn=<DivBackward0>)
90 tensor(1.4776, device='cuda:0', grad_fn=<DivBackward0>)
91 tensor(1.4752, device='cuda:0', grad_fn=<DivBackward0>)
92 tensor(1.4728, device='cuda:0', grad_fn=<DivBackward0>)
93 tensor(1.4705, device='cuda:0', grad_fn=<DivBackward0>)
94 tensor(1.4680, device='cuda:0', grad_fn=<DivBackward0>)
95 tensor(1.4660, device='cuda:0', grad_fn=<DivBackward0>)
96 tensor(1.4636, device='cuda:0', grad_fn=<DivBackward0>)
97 tensor(1.4612, device='cuda:0', grad_fn=<DivBackward0>)
98 tensor(1.4588, device='cuda:0', grad_fn=<DivBackward0>)
99 tensor(1.4565, device='cuda:0', grad_fn=<DivBackward0>)
Train f-1: 36.08793597839311
Test f-1: 29.06781859460773
Learning rate: 0.01
Batch size: 500
-------------------
0 tensor(1.9316, device='cuda:0', grad_fn=<DivBackward0>)
1 tensor(1.9190, device='cuda:0', grad_fn=<DivBackward0>)
2 tensor(1.9077, device='cuda:0', grad_fn=<DivBackward0>)
3 tensor(1.8975, device='cuda:0', grad_fn=<DivBackward0>)
4 tensor(1.8883, device='cuda:0', grad_fn=<DivBackward0>)
5 tensor(1.8799, device='cuda:0', grad_fn=<DivBackward0>)
6 tensor(1.8723, device='cuda:0', grad_fn=<DivBackward0>)
7 tensor(1.8653, device='cuda:0', grad_fn=<DivBackward0>)
8 tensor(1.8589, device='cuda:0', grad_fn=<DivBackward0>)
9 tensor(1.8529, device='cuda:0', grad_fn=<DivBackward0>)
10 tensor(1.8475, device='cuda:0', grad_fn=<DivBackward0>)
11 tensor(1.8424, device='cuda:0', grad_fn=<DivBackward0>)
12 tensor(1.8379, device='cuda:0', grad_fn=<DivBackward0>)
13 tensor(1.8335, device='cuda:0', grad_fn=<DivBackward0>)
14 tensor(1.8294, device='cuda:0', grad_fn=<DivBackward0>)
15 tensor(1.8255, device='cuda:0', grad_fn=<DivBackward0>)
16 tensor(1.8222, device='cuda:0', grad_fn=<DivBackward0>)
17 tensor(1.8185, device='cuda:0', grad_fn=<DivBackward0>)
18 tensor(1.8156, device='cuda:0', grad_fn=<DivBackward0>)
19 tensor(1.8126, device='cuda:0', grad_fn=<DivBackward0>)
20 tensor(1.8097, device='cuda:0', grad_fn=<DivBackward0>)
21 tensor(1.8069, device='cuda:0', grad_fn=<DivBackward0>)
22 tensor(1.8045, device='cuda:0', grad_fn=<DivBackward0>)
23 tensor(1.8020, device='cuda:0', grad_fn=<DivBackward0>)
24 tensor(1.7996, device='cuda:0', grad_fn=<DivBackward0>)
25 tensor(1.7974, device='cuda:0', grad_fn=<DivBackward0>)
26 tensor(1.7950, device='cuda:0', grad_fn=<DivBackward0>)
27 tensor(1.7929, device='cuda:0', grad_fn=<DivBackward0>)
28 tensor(1.7910, device='cuda:0', grad_fn=<DivBackward0>)
29 tensor(1.7892, device='cuda:0', grad_fn=<DivBackward0>)
30 tensor(1.7872, device='cuda:0', grad_fn=<DivBackward0>)
31 tensor(1.7856, device='cuda:0', grad_fn=<DivBackward0>)
32 tensor(1.7838, device='cuda:0', grad_fn=<DivBackward0>)
33 tensor(1.7820, device='cuda:0', grad_fn=<DivBackward0>)
34 tensor(1.7803, device='cuda:0', grad_fn=<DivBackward0>)
35 tensor(1.7787, device='cuda:0', grad_fn=<DivBackward0>)
36 tensor(1.7774, device='cuda:0', grad_fn=<DivBackward0>)
37 tensor(1.7757, device='cuda:0', grad_fn=<DivBackward0>)
38 tensor(1.7741, device='cuda:0', grad_fn=<DivBackward0>)
39 tensor(1.7729, device='cuda:0', grad_fn=<DivBackward0>)
40 tensor(1.7714, device='cuda:0', grad_fn=<DivBackward0>)
41 tensor(1.7703, device='cuda:0', grad_fn=<DivBackward0>)
42 tensor(1.7690, device='cuda:0', grad_fn=<DivBackward0>)
43 tensor(1.7677, device='cuda:0', grad_fn=<DivBackward0>)
44 tensor(1.7661, device='cuda:0', grad_fn=<DivBackward0>)
45 tensor(1.7650, device='cuda:0', grad_fn=<DivBackward0>)
46 tensor(1.7638, device='cuda:0', grad_fn=<DivBackward0>)
47 tensor(1.7627, device='cuda:0', grad_fn=<DivBackward0>)
48 tensor(1.7614, device='cuda:0', grad_fn=<DivBackward0>)
49 tensor(1.7601, device='cuda:0', grad_fn=<DivBackward0>)
50 tensor(1.7589, device='cuda:0', grad_fn=<DivBackward0>)
51 tensor(1.7576, device='cuda:0', grad_fn=<DivBackward0>)
52 tensor(1.7566, device='cuda:0', grad_fn=<DivBackward0>)
53 tensor(1.7557, device='cuda:0', grad_fn=<DivBackward0>)
54 tensor(1.7540, device='cuda:0', grad_fn=<DivBackward0>)
55 tensor(1.7532, device='cuda:0', grad_fn=<DivBackward0>)
56 tensor(1.7519, device='cuda:0', grad_fn=<DivBackward0>)
57 tensor(1.7508, device='cuda:0', grad_fn=<DivBackward0>)
58 tensor(1.7500, device='cuda:0', grad_fn=<DivBackward0>)
59 tensor(1.7487, device='cuda:0', grad_fn=<DivBackward0>)
60 tensor(1.7473, device='cuda:0', grad_fn=<DivBackward0>)
61 tensor(1.7462, device='cuda:0', grad_fn=<DivBackward0>)
62 tensor(1.7451, device='cuda:0', grad_fn=<DivBackward0>)
63 tensor(1.7439, device='cuda:0', grad_fn=<DivBackward0>)
64 tensor(1.7426, device='cuda:0', grad_fn=<DivBackward0>)
65 tensor(1.7416, device='cuda:0', grad_fn=<DivBackward0>)
66 tensor(1.7401, device='cuda:0', grad_fn=<DivBackward0>)
67 tensor(1.7392, device='cuda:0', grad_fn=<DivBackward0>)
68 tensor(1.7378, device='cuda:0', grad_fn=<DivBackward0>)
69 tensor(1.7367, device='cuda:0', grad_fn=<DivBackward0>)
70 tensor(1.7359, device='cuda:0', grad_fn=<DivBackward0>)
71 tensor(1.7343, device='cuda:0', grad_fn=<DivBackward0>)
72 tensor(1.7329, device='cuda:0', grad_fn=<DivBackward0>)
73 tensor(1.7321, device='cuda:0', grad_fn=<DivBackward0>)
74 tensor(1.7308, device='cuda:0', grad_fn=<DivBackward0>)
75 tensor(1.7294, device='cuda:0', grad_fn=<DivBackward0>)
76 tensor(1.7282, device='cuda:0', grad_fn=<DivBackward0>)
77 tensor(1.7272, device='cuda:0', grad_fn=<DivBackward0>)
78 tensor(1.7259, device='cuda:0', grad_fn=<DivBackward0>)
79 tensor(1.7245, device='cuda:0', grad_fn=<DivBackward0>)
80 tensor(1.7233, device='cuda:0', grad_fn=<DivBackward0>)
81 tensor(1.7218, device='cuda:0', grad_fn=<DivBackward0>)
82 tensor(1.7205, device='cuda:0', grad_fn=<DivBackward0>)
83 tensor(1.7195, device='cuda:0', grad_fn=<DivBackward0>)
84 tensor(1.7178, device='cuda:0', grad_fn=<DivBackward0>)
85 tensor(1.7166, device='cuda:0', grad_fn=<DivBackward0>)
86 tensor(1.7153, device='cuda:0', grad_fn=<DivBackward0>)
87 tensor(1.7143, device='cuda:0', grad_fn=<DivBackward0>)
88 tensor(1.7123, device='cuda:0', grad_fn=<DivBackward0>)
89 tensor(1.7115, device='cuda:0', grad_fn=<DivBackward0>)
90 tensor(1.7098, device='cuda:0', grad_fn=<DivBackward0>)
91 tensor(1.7084, device='cuda:0', grad_fn=<DivBackward0>)
92 tensor(1.7069, device='cuda:0', grad_fn=<DivBackward0>)
93 tensor(1.7055, device='cuda:0', grad_fn=<DivBackward0>)
94 tensor(1.7043, device='cuda:0', grad_fn=<DivBackward0>)
95 tensor(1.7030, device='cuda:0', grad_fn=<DivBackward0>)
96 tensor(1.7015, device='cuda:0', grad_fn=<DivBackward0>)
97 tensor(1.7001, device='cuda:0', grad_fn=<DivBackward0>)
98 tensor(1.6990, device='cuda:0', grad_fn=<DivBackward0>)
99 tensor(1.6973, device='cuda:0', grad_fn=<DivBackward0>)
Train f-1: 19.084853356591644
Test f-1: 18.87567746467577
Learning rate: 0.05
Batch size: 50
-------------------
0 tensor(1.8174, device='cuda:0', grad_fn=<DivBackward0>)
1 tensor(1.7370, device='cuda:0', grad_fn=<DivBackward0>)
2 tensor(1.6763, device='cuda:0', grad_fn=<DivBackward0>)
3 tensor(1.6326, device='cuda:0', grad_fn=<DivBackward0>)
4 tensor(1.6039, device='cuda:0', grad_fn=<DivBackward0>)
5 tensor(1.5799, device='cuda:0', grad_fn=<DivBackward0>)
6 tensor(1.5587, device='cuda:0', grad_fn=<DivBackward0>)
7 tensor(1.5356, device='cuda:0', grad_fn=<DivBackward0>)
8 tensor(1.5148, device='cuda:0', grad_fn=<DivBackward0>)
9 tensor(1.4943, device='cuda:0', grad_fn=<DivBackward0>)
10 tensor(1.4732, device='cuda:0', grad_fn=<DivBackward0>)
11 tensor(1.4524, device='cuda:0', grad_fn=<DivBackward0>)
12 tensor(1.4307, device='cuda:0', grad_fn=<DivBackward0>)
13 tensor(1.4102, device='cuda:0', grad_fn=<DivBackward0>)
14 tensor(1.3877, device='cuda:0', grad_fn=<DivBackward0>)
15 tensor(1.3654, device='cuda:0', grad_fn=<DivBackward0>)
16 tensor(1.3429, device='cuda:0', grad_fn=<DivBackward0>)
17 tensor(1.3203, device='cuda:0', grad_fn=<DivBackward0>)
18 tensor(1.2973, device='cuda:0', grad_fn=<DivBackward0>)
19 tensor(1.2725, device='cuda:0', grad_fn=<DivBackward0>)
20 tensor(1.2478, device='cuda:0', grad_fn=<DivBackward0>)
21 tensor(1.2230, device='cuda:0', grad_fn=<DivBackward0>)
22 tensor(1.1979, device='cuda:0', grad_fn=<DivBackward0>)
23 tensor(1.1711, device='cuda:0', grad_fn=<DivBackward0>)
24 tensor(1.1455, device='cuda:0', grad_fn=<DivBackward0>)
25 tensor(1.1186, device='cuda:0', grad_fn=<DivBackward0>)
26 tensor(1.0924, device='cuda:0', grad_fn=<DivBackward0>)
27 tensor(1.0655, device='cuda:0', grad_fn=<DivBackward0>)
28 tensor(1.0377, device='cuda:0', grad_fn=<DivBackward0>)
29 tensor(1.0101, device='cuda:0', grad_fn=<DivBackward0>)
30 tensor(0.9831, device='cuda:0', grad_fn=<DivBackward0>)
31 tensor(0.9554, device='cuda:0', grad_fn=<DivBackward0>)
32 tensor(0.9285, device='cuda:0', grad_fn=<DivBackward0>)
33 tensor(0.9007, device='cuda:0', grad_fn=<DivBackward0>)
34 tensor(0.8749, device='cuda:0', grad_fn=<DivBackward0>)
35 tensor(0.8468, device='cuda:0', grad_fn=<DivBackward0>)
36 tensor(0.8207, device='cuda:0', grad_fn=<DivBackward0>)
37 tensor(0.7950, device='cuda:0', grad_fn=<DivBackward0>)
38 tensor(0.7679, device='cuda:0', grad_fn=<DivBackward0>)
39 tensor(0.7428, device='cuda:0', grad_fn=<DivBackward0>)
40 tensor(0.7172, device='cuda:0', grad_fn=<DivBackward0>)
41 tensor(0.6932, device='cuda:0', grad_fn=<DivBackward0>)
42 tensor(0.6678, device='cuda:0', grad_fn=<DivBackward0>)
43 tensor(0.6450, device='cuda:0', grad_fn=<DivBackward0>)
44 tensor(0.6231, device='cuda:0', grad_fn=<DivBackward0>)
45 tensor(0.5991, device='cuda:0', grad_fn=<DivBackward0>)
46 tensor(0.5784, device='cuda:0', grad_fn=<DivBackward0>)
47 tensor(0.5569, device='cuda:0', grad_fn=<DivBackward0>)
48 tensor(0.5365, device='cuda:0', grad_fn=<DivBackward0>)
49 tensor(0.5158, device='cuda:0', grad_fn=<DivBackward0>)
50 tensor(0.4965, device='cuda:0', grad_fn=<DivBackward0>)
51 tensor(0.4781, device='cuda:0', grad_fn=<DivBackward0>)
52 tensor(0.4610, device='cuda:0', grad_fn=<DivBackward0>)
53 tensor(0.4418, device='cuda:0', grad_fn=<DivBackward0>)
54 tensor(0.4259, device='cuda:0', grad_fn=<DivBackward0>)
55 tensor(0.4094, device='cuda:0', grad_fn=<DivBackward0>)
56 tensor(0.3930, device='cuda:0', grad_fn=<DivBackward0>)
57 tensor(0.3779, device='cuda:0', grad_fn=<DivBackward0>)
58 tensor(0.3633, device='cuda:0', grad_fn=<DivBackward0>)
59 tensor(0.3497, device='cuda:0', grad_fn=<DivBackward0>)
60 tensor(0.3355, device='cuda:0', grad_fn=<DivBackward0>)
61 tensor(0.3230, device='cuda:0', grad_fn=<DivBackward0>)
62 tensor(0.3096, device='cuda:0', grad_fn=<DivBackward0>)
63 tensor(0.2983, device='cuda:0', grad_fn=<DivBackward0>)
64 tensor(0.2879, device='cuda:0', grad_fn=<DivBackward0>)
65 tensor(0.2764, device='cuda:0', grad_fn=<DivBackward0>)
66 tensor(0.2656, device='cuda:0', grad_fn=<DivBackward0>)
67 tensor(0.2558, device='cuda:0', grad_fn=<DivBackward0>)
68 tensor(0.2458, device='cuda:0', grad_fn=<DivBackward0>)
69 tensor(0.2372, device='cuda:0', grad_fn=<DivBackward0>)
70 tensor(0.2290, device='cuda:0', grad_fn=<DivBackward0>)
71 tensor(0.2204, device='cuda:0', grad_fn=<DivBackward0>)
72 tensor(0.2127, device='cuda:0', grad_fn=<DivBackward0>)
73 tensor(0.2056, device='cuda:0', grad_fn=<DivBackward0>)
74 tensor(0.1976, device='cuda:0', grad_fn=<DivBackward0>)
75 tensor(0.1897, device='cuda:0', grad_fn=<DivBackward0>)
76 tensor(0.1838, device='cuda:0', grad_fn=<DivBackward0>)
77 tensor(0.1770, device='cuda:0', grad_fn=<DivBackward0>)
78 tensor(0.1714, device='cuda:0', grad_fn=<DivBackward0>)
79 tensor(0.1655, device='cuda:0', grad_fn=<DivBackward0>)
80 tensor(0.1597, device='cuda:0', grad_fn=<DivBackward0>)
81 tensor(0.1538, device='cuda:0', grad_fn=<DivBackward0>)
82 tensor(0.1492, device='cuda:0', grad_fn=<DivBackward0>)
83 tensor(0.1448, device='cuda:0', grad_fn=<DivBackward0>)
84 tensor(0.1405, device='cuda:0', grad_fn=<DivBackward0>)
85 tensor(0.1359, device='cuda:0', grad_fn=<DivBackward0>)
86 tensor(0.1312, device='cuda:0', grad_fn=<DivBackward0>)
87 tensor(0.1274, device='cuda:0', grad_fn=<DivBackward0>)
88 tensor(0.1240, device='cuda:0', grad_fn=<DivBackward0>)
89 tensor(0.1195, device='cuda:0', grad_fn=<DivBackward0>)
90 tensor(0.1162, device='cuda:0', grad_fn=<DivBackward0>)
